Period,Feature_Set,Input_Steps,Train_Start,Train_End,Test_Start,Test_End,MAE,MSE,RMSE,SMAPE,R2
6,Jul2023,LSTM_ME41,168,2022-11-01,2023-06-30 23:00:00,2023-07-01,2023-07-31 23:00:00,15.454098,423.973999,20.590629,15.537520,0.615631
8,Sep2023,LSTM_ME41,168,2023-01-01,2023-08-31 23:00:00,2023-09-01,2023-09-30 23:00:00,15.708510,497.573883,22.306364,19.021356,0.647496
5,Jun2023,LSTM_ME41,168,2022-10-01,2023-05-31 23:00:00,2023-06-01,2023-06-30 23:00:00,17.339777,579.719299,24.077361,24.831918,0.441583
11,Dec2023,LSTM_ME41,168,2023-04-01,2023-11-30 23:00:00,2023-12-01,2023-12-31 23:00:00,17.506638,574.908142,23.977242,21.190289,0.376852
4,May2023,LSTM_ME41,168,2022-09-01,2023-04-30 23:00:00,2023-05-01,2023-05-31 23:00:00,17.737238,535.145203,23.133206,22.532819,0.537182
7,Aug2023,LSTM_ME41,168,2022-12-01,2023-07-31 23:00:00,2023-08-01,2023-08-31 23:00:00,20.170019,929.909973,30.494425,21.712908,0.632715
1,Feb2023,LSTM_ME41,168,2022-06-01,2023-01-31 23:00:00,2023-02-01,2023-02-28 23:00:00,21.530794,847.128601,29.105474,15.158682,0.364053
3,Apr2023,LSTM_ME41,168,2022-08-01,2023-03-31 23:00:00,2023-04-01,2023-04-30 23:00:00,22.309393,881.380371,29.688051,21.950674,0.286683
9,Oct2023,LSTM_ME41,168,2023-02-01,2023-09-30 23:00:00,2023-10-01,2023-10-31 23:00:00,23.156301,997.275208,31.579664,25.252154,0.522211
2,Mar2023,LSTM_ME41,168,2022-07-01,2023-02-28 23:00:00,2023-03-01,2023-03-31 23:00:00,23.352320,954.851318,30.900669,22.986224,0.354374
10,Nov2023,LSTM_ME41,168,2023-03-01,2023-10-31 23:00:00,2023-11-01,2023-11-30 23:00:00,29.092432,1438.296509,37.924880,34.598660,0.332013
0,Jan2023,LSTM_ME41,168,2022-05-01,2022-12-31 23:00:00,2023-01-01,2023-01-31 23:00:00,41.642624,2989.395264,54.675362,27.671269,0.424350

