FeatureSet,EncoderLength,Period,MAE,MSE,RMSE,SMAPE,R2
29,M4,168,Jul2023,15.236404,380.988015,19.518914,13.344146,0.650623
2,M29,168,Dec2023,17.277166,536.575632,23.164102,21.894322,0.375373
23,M34,168,Sep2023,17.966336,710.672843,26.658448,21.360341,0.520575
26,M4,168,Dec2023,18.126745,662.325714,25.735690,22.253157,0.228988
41,M53,168,Jul2023,18.183263,479.252106,21.891827,15.915789,0.560512
14,M34,168,Dec2023,18.543907,611.017020,24.718758,23.083561,0.288716
11,M29,168,Sep2023,18.999497,757.582843,27.524223,22.427293,0.488929
47,M53,168,Sep2023,19.004099,828.236740,28.779102,22.278500,0.441265
35,M4,168,Sep2023,19.076747,698.408574,26.427421,23.509893,0.528848
36,M53,168,Apr2023,19.820838,796.176654,28.216602,19.893654,0.417660
21,M34,168,Nov2023,20.115787,725.226032,26.930021,23.731075,0.528929
38,M53,168,Dec2023,20.356199,799.884917,28.282237,25.234957,0.068855
30,M4,168,Jun2023,20.649011,716.907010,26.775119,26.548182,0.283414
53,M55,168,Jul2023,20.712578,731.255710,27.041740,21.200797,0.329417
13,M34,168,Aug2023,20.896838,948.424397,30.796500,23.071756,0.685331
42,M53,168,Jun2023,21.525890,952.191789,30.857605,26.009477,0.048235
45,M53,168,Nov2023,21.542533,854.737128,29.235888,24.178951,0.444805
50,M55,168,Dec2023,21.933213,873.157322,29.549236,29.844347,-0.016441
9,M29,168,Nov2023,22.709297,908.520392,30.141672,25.928582,0.40987
18,M34,168,Jun2023,22.723868,1010.057213,31.781397,28.489745,-0.009605
12,M34,168,Apr2023,22.813737,908.146102,30.135463,22.610526,0.335763
59,M55,168,Sep2023,22.920793,890.676812,29.844209,26.175217,0.399143
49,M55,168,Aug2023,23.218578,1367.883927,36.984915,24.390429,0.546162
54,M55,168,Jun2023,23.483412,1023.163638,31.986929,27.756494,-0.022705
22,M34,168,Oct2023,23.491468,1009.034976,31.765311,23.287242,0.507637
48,M55,168,Apr2023,23.687634,893.790031,29.896321,25.145863,0.346263
0,M29,168,Apr2023,23.818205,961.5851,31.009436,24.584714,0.296676
34,M4,168,Oct2023,23.8591,1050.271168,32.407887,24.448484,0.487515
17,M34,168,Jul2023,23.94817,942.454317,30.699419,27.920667,0.135742
58,M55,168,Oct2023,24.137411,1043.951948,32.310245,23.830029,0.490599
15,M34,168,Feb2023,24.641254,1003.600163,31.679649,18.006586,0.29441
33,M4,168,Nov2023,24.801479,1101.065232,33.182303,26.71174,0.284802
24,M4,168,Apr2023,25.196903,994.750672,31.539668,27.509549,0.272418
10,M29,168,Oct2023,25.710358,1256.674451,35.449604,27.36403,0.3868
57,M55,168,Nov2023,26.160462,1158.792218,34.041037,27.594381,0.247306
19,M34,168,Mar2023,26.803772,1304.44586,36.117113,24.240062,0.047174
46,M53,168,Oct2023,26.810218,1294.508354,35.979277,26.941232,0.368339
51,M55,168,Feb2023,27.001556,1341.073947,36.620676,19.292581,0.057146
55,M55,168,Mar2023,28.00747,1345.463529,36.680561,25.160169,0.017212
1,M29,168,Aug2023,28.48648,1377.880236,37.119809,31.703043,0.542846
3,M29,168,Feb2023,29.315459,1421.146621,37.698098,19.73748,0.00085
43,M53,168,Mar2023,29.473374,1452.366903,38.109932,26.076445,-0.060875
6,M29,168,Jun2023,29.502418,1471.427103,38.359185,42.845204,-0.470768
5,M29,168,Jul2023,30.412312,1340.81438,36.617132,33.977455,-0.229566
25,M4,168,Aug2023,30.499235,1841.66223,42.914592,30.02559,0.388972
32,M4,168,May2023,30.616118,1463.619632,38.257282,41.083503,-0.176974
37,M53,168,Aug2023,30.889388,1560.87956,39.507968,31.418008,0.48213
31,M4,168,Mar2023,31.06425,1595.971925,39.949617,30.718663,-0.16577
39,M53,168,Feb2023,31.269611,1560.101065,39.498115,22.08615,-0.096843
7,M29,168,Mar2023,34.103342,1749.727323,41.829742,28.903937,-0.27808
44,M53,168,May2023,37.009451,1937.423686,44.016175,36.463439,-0.557985
56,M55,168,May2023,39.055117,2441.976295,49.416357,36.978489,-0.963723
28,M4,168,Jan2023,43.480766,3631.259532,60.259933,29.768614,0.203263
27,M4,168,Feb2023,45.177896,2712.316547,52.079905,28.058774,-0.906919
4,M29,168,Jan2023,47.07804,3755.158609,61.279349,31.417495,0.176078
40,M53,168,Jan2023,53.354564,4564.64498,67.562156,33.830463,-0.001532
52,M55,168,Jan2023,54.907526,5340.37496,73.077869,33.844217,-0.171735
20,M34,168,May2023,62.162336,5133.440856,71.648035,49.978652,-3.128072
8,M29,168,May2023,62.52253,4807.562586,69.336589,51.315593,-2.866016
16,M34,168,Jan2023,70.211996,8315.210828,91.187778,39.306897,-0.824446
